variable              flight phase    name                     opt    min     max    model    model params
to_v_lof              takeoff         Liftoff speed            82.7   72.5    92.9   norm     82.7|7.1
to_d_tof              takeoff         Takeoff dist.            1.51   1.06    2.41   gamma    8.56|0.43|0.14
to_acc_tof            takeoff         Mean accelaration        1.84   1.38    2.29   norm     1.84|0.28
ic_va_avg             initial_climb   Mean airspeed            80     73      87     norm     80|4
ic_vs_avg             initial_climb   Mean vertical rate       12.27  9.52    15.04  norm     12.28|1.68
cl_d_range            climb           Climb range              206    157     348    gamma    5|138|16
cl_v_cas_const        climb           Constant CAS             149    140     159    norm     150|6
cl_v_mach_const       climb           Constant Mach            0.77   0.74    0.8    beta     16.21|6.30|0.62|0.20
cl_h_cas_const        climb           Constant CAS alt         3.2    2.1     6      gamma    5.2|1.0|0.5
cl_h_mach_const       climb           Constant Mach alt        8.9    8       9.8    norm     8.9|0.6
cl_vs_avg_pre_cas     climb           Mean RoC, pre-CAS        11.1   8.41    13.8   norm     11.11|1.64
cl_vs_avg_cas_const   climb           Mean RoC, cst.-CAS       10.15  7.63    12.67  norm     10.15|1.53
cl_vs_avg_mach_const  climb           Mean RoC, cst.-Mach      6.07   3.99    8.16   norm     6.08|1.27
cr_d_range            cruise          Cruise range             299    182     4019   gamma    1|173|669
cr_v_cas_mean         cruise          Mean cruise CAS          125    119     139    gamma    4|114|2
cr_v_cas_max          cruise          Max cruise CAS           128    121     148    gamma    3|116|4
cr_v_mach_mean        cruise          Mean cruise Mach         0.77   0.74    0.8    norm     0.77|0.02
cr_v_mach_max         cruise          Max cruise Mach          0.79   0.75    0.82   norm     0.79|0.02
cr_h_init             cruise          Initial cruise altitude  11.54  10.27   11.97  beta     7.48|2.22|8.11|4.08
cr_h_mean             cruise          Mean cruise altitude     11.54  10.21   11.97  beta     7.00|2.13|8.10|4.09
cr_h_max              cruise          Max cruise altitude      11.64  10.3    12.03  beta     6.12|1.89|8.42|3.79
de_d_range            descent         Descent range            233    176     473    gamma    3|163|32
de_v_mach_const       descent         Constant Mach            0.76   0.72    0.8    norm     0.76|0.03
de_v_cas_const        descent         Constant CAS             145    136     164    gamma    6|126|3
de_h_mach_const       descent         Constant Mach alt        9.2    7.7     10.7   norm     9.2|0.9
de_h_cas_const        descent         Constant CAS alt         5.3    2.6     8.1    norm     5.3|1.7
de_vs_avg_mach_const  descent         Mean RoD, cst.-Mach      -5.87  -12.13  -2.41  beta     3.27|2.09|-16.27|15.37
de_vs_avg_cas_const   descent         Mean RoD, cst.-CAS       -9.84  -14.22  -5.45  norm     -9.83|2.66
de_vs_avg_after_cas   descent         Mean RoD, after-CAS      -5.88  -7.69   -4.07  norm     -5.88|1.10
fa_va_avg             final_approach  Mean airspeed            67     63      76     gamma    6|57|1
fa_vs_avg             final_approach  Mean vertical rate       -3.42  -4.19   -2.65  norm     -3.42|0.47
fa_agl                final_approach  Approach angle           3.15   2.25    4.05   norm     3.15|0.55
ld_v_app              landing         Touchdown speed          66.2   61      71.5   norm     66.2|3.6
ld_d_brk              landing         Braking distance         1.38   0.71    4.18   gamma    2.62|0.28|0.68
ld_acc_brk            landing         Mean braking acc.        -0.87  -1.79   -0.35  beta     5.62|2.87|-2.90|2.86
